label-dash	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
blood-supply	blood_supply	bloodSupply					Muscle	Vessel				The blood vessel that carries blood from the heart to the muscle.
boarding-group	boarding_group	boardingGroup					FlightReservation	Text				The airline-specific indicator of boarding order / preference.
boarding-policy	boarding_policy	boardingPolicy					Airline, Flight	BoardingPolicyType				The type of boarding policy used by the airline (e.g. zone-based or group-based).
body-location	body_location	bodyLocation					AnatomicalStructure, MedicalProcedure	Text				Location in the body of the anatomical structure.
body-type	body_type	bodyType	https://auto.schema.org				Vehicle	QualitativeValue, Text, URL				Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).
book-edition	book_edition	bookEdition					Book	Text				The edition of the book.
book-format	book_format	bookFormat					Book	BookFormatType				The format of the book.
booking-agent	booking_agent	bookingAgent					Reservation	Organization, Person			broker	'bookingAgent' is an out-dated term indicating a 'broker' that serves as a booking agent.
booking-time	booking_time	bookingTime					Reservation	DateTime				The date and time the reservation was booked.
borrower	borrower	borrower		participant			LendAction	Person				A sub property of participant. The person that borrows the object being lent.
box	box	box					GeoShape	Text				A box is the area enclosed by the rectangle formed by two points. The first point is the lower corner, the second point is the upper corner. A box is expressed as two points separated by a space character.
branch	branch	branch					Nerve	AnatomicalStructure			arterialBranch	"The branches that delineate from the nerve bundle. Not to be confused with <a class=""localLink"" href=""/branchOf"">branchOf</a>."
branch-code	branch_code	branchCode					Place	Text				"A short textual code (also called ""store code"") that uniquely identifies a place of business. The code is typically assigned by the parentOrganization and used in structured URLs.<br/><br/>

For example, in the URL http://www.starbucks.co.uk/store-locator/etc/detail/3047 the code ""3047"" is a branchCode for a particular branch."
branch-of	branch_of	branchOf					LocalBusiness	Organization			parentOrganization	"The larger organization that this local business is a branch of, if any. Not to be confused with (anatomical) <a class=""localLink"" href=""/branch"">branch</a>."
brand	brand	brand					Organization, Person, Product, Service	Brand, Organization				The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
breadcrumb	breadcrumb	breadcrumb					WebPage	BreadcrumbList, Text				A set of links that can help a user understand and navigate a website hierarchy.
breastfeeding-warning	breastfeeding_warning	breastfeedingWarning					Drug	Text				Any precaution, guidance, contraindication, etc. related to this drug's use by breastfeeding mothers.
broadcast-affiliate-of	broadcast_affiliate_of	broadcastAffiliateOf					BroadcastService	Organization				The media network(s) whose content is broadcast on this station.
broadcast-channel-id	broadcast_channel_id	broadcastChannelId					BroadcastChannel	Text				The unique address by which the BroadcastService can be identified in a provider lineup. In US, this is typically a number.
broadcast-display-name	broadcast_display_name	broadcastDisplayName					BroadcastService	Text				The name displayed in the channel guide. For many US affiliates, it is the network name.
broadcast-frequency	broadcast_frequency	broadcastFrequency					BroadcastChannel, BroadcastService	BroadcastFrequencySpecification, Text				"The frequency used for over-the-air broadcasts. Numeric values or simple ranges, e.g. 87-99. In addition a shortcut idiom is supported for frequences of AM and FM radio channels, e.g. ""87 FM""."
broadcast-frequency-value	broadcast_frequency_value	broadcastFrequencyValue					BroadcastFrequencySpecification	Number, QuantitativeValue				The frequency in MHz for a particular broadcast.
broadcast-of-event	broadcast_of_event	broadcastOfEvent					BroadcastEvent	Event				The event being broadcast such as a sporting event or awards ceremony.
broadcast-service-tier	broadcast_service_tier	broadcastServiceTier					BroadcastChannel	Text				The type of service required to have access to the channel (e.g. Standard or Premium).
broadcast-signal-modulation	broadcast_signal_modulation	broadcastSignalModulation	pending:				BroadcastFrequencySpecification	QualitativeValue, Text				The modulation (e.g. FM, AM, etc) used by a particular broadcast service.
broadcast-sub-channel	broadcast_sub_channel	broadcastSubChannel	pending:				BroadcastFrequencySpecification	Text				The subchannel used for the broadcast.
broadcast-timezone	broadcast_timezone	broadcastTimezone					BroadcastService	Text				"The timezone in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 format</a> for which the service bases its broadcasts."
broadcaster	broadcaster	broadcaster					BroadcastService	Organization				The organization owning or operating the broadcast service.
broker	broker	broker					Invoice, Order, Reservation, Service	Organization, Person		bookingAgent		An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.
browser-requirements	browser_requirements	browserRequirements					WebApplication	Text				Specifies browser requirements in human-readable text. For example, 'requires HTML5 support'.
bus-name	bus_name	busName					BusTrip	Text				The name of the bus (e.g. Bolt Express).
bus-number	bus_number	busNumber					BusTrip	Text				The unique identifier for the bus.
business-days	business_days	businessDays	pending:				ShippingDeliveryTime	OpeningHoursSpecification				Days of the week when the merchant typically operates, indicated via opening hours markup.
business-function	business_function	businessFunction					Demand, Offer, TypeAndQuantityNode	BusinessFunction				The business function (e.g. sell, lease, repair, dispose) of the offer or component of a bundle (TypeAndQuantityNode). The default is http://purl.org/goodrelations/v1#Sell.
buyer	buyer	buyer		participant			SellAction	Organization, Person				A sub property of participant. The participant/person/organization that bought the object.
by-artist	by_artist	byArtist					MusicAlbum, MusicRecording	MusicGroup, Person				The artist that performed this album or recording.
by-day	by_day	byDay	pending:				Schedule	DayOfWeek, Text				"Defines the day(s) of the week on which a recurring <a class=""localLink"" href=""/Event"">Event</a> takes place. May be specified using either <a class=""localLink"" href=""/DayOfWeek"">DayOfWeek</a>, or alternatively <a class=""localLink"" href=""/Text"">Text</a> conforming to iCal's syntax for byDay recurrence rules."
by-month	by_month	byMonth	pending:				Schedule	Integer				"Defines the month(s) of the year on which a recurring <a class=""localLink"" href=""/Event"">Event</a> takes place. Specified as an <a class=""localLink"" href=""/Integer"">Integer</a> between 1-12. January is 1."
